"48244899","32232452","Бюро по работе с ин","Бюро по работе с информационными системами","2 уровень","3"
"60391072","79750740","УпоСОиР","Управление по связям с общественностью и рекламе","1 уровень","3"
"73511345","27033926","Отдел расчетов с ор","Отдел расчетов с организациями","2 уровень","3"
"73599903","32232452","Отдел имущества","Отдел имущества","2 уровень","3"
"74133051","32232452","Отдел ДиПР","Отдел договорной и претензионной работы","2 уровень","3"
"78575097","31652849","СПП","Служба психологической поддержки","2 уровень","4"
"78578477","31433114","УпоРСМ","Управление по работе со студенческой молодежью","1 уровень","3"
"78578554","78578477","ОПМИ и П","Отдел поддержки молодежных инициатив и проектов","2 уровень","4"
"78751034","31433114","Спорт-оздор. лагерь","Спортивно-оздоровительный лагерь ""Спутник""","1 уровень","3"
"78859500","31391769","УРБиГО","Управление режима, безопасности и гражданской обороны","1 уровень","2"
"79158702","31391769","НР и ИД","НР и ИД",,"2"
"79262287","355953962","МЦСУЗОиРИТ","Межвузовский центр содействия укреплению здоровья обучающихся и развития информационных технологий","3 уровень","5"
"79750193","31391769","УР","УР",,"2"
"79750438","544830","Отдел статистики","Отдел статистики","2 уровень","4"
"79750527","544830","ОЛ и А","Отдел лицензирования и аккредитации","2 уровень","4"
"79750740","31391769","ИР","ИР",,"2"
"79750981","352635381","СОК","Спортивно-оздоровительный комплекс ""Труд""","2 уровень","4"
"79751074","118012647","Ботанический сад","Ботанический сад им. И.И. Спрыгина","2 уровень","4"
"79753724","544530","ОР с С","Отдел по работе с сотрудниками","2 уровень","3"
"79757826","357456162","ОПР","Отдел профориентационной работы","3 уровень","5"
"79758021","364401829","СНПБИ","Студенческий научно-производственный бизнес-инкубатор","2 уровень","4"
"105449681","355953801","СРИГ","Служба размещения иностранных граждан","3 уровень","5"
"105449929","105449466","Кафедра ОДОИГ","Кафедра общенаучных дисциплин обучения иностранных граждан","3 уровень","5"
"105450007","31372558","Подготовительное отд","Подготовительное отделение","3 уровень","5"
"106283203","60391072","Отдел по связям с о","Отдел по связям с общественностью","2 уровень","4"
"118012647","31429660","ПИ им. В.Г. Белинско","Педагогический институт им. В.Г. Белинского","1 уровень","3"
"123585743","118012647","ФППиСН","Факультет педагогики, психологии и социальных наук","2 уровень","4"
"123586195","123585743","ППДНДО","Кафедра ""Педагогика и психология дошкольного, начального и дефектологического образования""","3 уровень","5"
"123586379","352729008","ЗиЭ","Кафедра ""Зоология и экология""","3 уровень","5"
"123594889","118012647","ИФФ","Историко-филологический факультет","2 уровень","4"
"123595205","135761758","ОФ","Кафедра ""Общая физика""","2 уровень","4"
"123595545","31429808","КТ","Кафедра ""Компьютерные технологии""","3 уровень","5"
"123595622","352729008","География","Кафедра ""География""","3 уровень","5"
"123595785","352729008","ХиТиМОХ","Кафедра ""Химия и теория и методика обучения химии""","3 уровень","5"
"123595940","123585743","ИИиК","Кафедра ""Изобразительное искусство и культурология""","3 уровень","5"
"123596127","123585743","МиМПМ","Кафедра ""Музыка и методика преподавания музыки""","3 уровень","5"
"123596373","123585743","Общ психология","Кафедра ""Общая психология""","3 уровень","5"
"123596471","123585743","Прикл психология","Кафедра ""Прикладная психология""","3 уровень","5"
"123596551","123585743","Педагогика","Кафедра ""Педагогика""","3 уровень","5"
"123596722","123585743","ТиПСР","Кафедра ""Теория и практика социальной работы""","3 уровень","5"
